Tensao [V];Corrente [A]
-3;-1,943221E-05
-2,95;-1,538275E-05
-2,9;-1,303948E-05
-2,85;-1,025044E-05
-2,8;-8,738395E-06
-2,75;-7,435328E-06
-2,7;-5,736178E-06
-2,65;-4,889261E-06
-2,6;-2,967287E-06
-2,55;-2,38731E-06
-2,5;-2,030401E-06
-2,45;-1,085357E-06
-2,4;-2,811989E-07
-2,35;6,616181E-07
-2,3;1,750509E-06
-2,25;2,025111E-06
-2,2;1,894607E-06
-2,15;3,506378E-06
-2,1;4,209443E-06
-2,05;4,572035E-06
-2;6,244238E-06
-1,95;6,447534E-06
-1,9;6,55122E-06
-1,85;7,148866E-06
-1,8;8,852339E-06
-1,75;8,025689E-06
-1,7;9,907366E-06
-1,65;1,042172E-05
-1,6;1,039379E-05
-1,55;1,104483E-05
-1,5;1,051416E-05
-1,45;1,128668E-05
-1,4;1,255575E-05
-1,35;1,333939E-05
-1,3;1,437872E-05
-1,25;1,3886E-05
-1,2;1,49372E-05
-1,15;1,634407E-05
-1,1;1,768668E-05
-1,05;1,844993E-05
-1;1,914447E-05
-0,95;2,009346E-05
-0,9;2,106655E-05
-0,85;2,315251E-05
-0,8;2,36597E-05
-0,75;2,590199E-05
-0,7;2,772818E-05
-0,65;3,026163E-05
-0,6;3,329993E-05
-0,55;3,496237E-05
-0,5;3,800881E-05
-0,45;4,149175E-05
-0,4;4,412198E-05
-0,35;4,857233E-05
-0,3;5,262684E-05
-0,25;5,638699E-05
-0,2;6,160158E-05
-0,15;6,641836E-05
-0,1;7,205413E-05
-0,05;7,776278E-05
0;8,626321E-05
0,05;9,033266E-05
0,1;9,658943E-05
0,15;0,0001025207
0,2;0,0001095401
0,25;0,0001166297
0,3;0,0001248696
0,35;0,0001329107
0,4;0,0001406813
0,45;0,0001486296
0,5;0,0001575862
0,55;0,0001660847
0,6;0,0001747394
0,65;0,0001839887
0,7;0,0001922999
0,75;0,0002013826
0,8;0,0002111504
0,85;0,0002203476
0,9;0,0002295743
0,95;0,0002390824
1;0,0002487456
1,05;0,0002594017
1,1;0,0002688633
1,15;0,0002778475
1,2;0,00028736
1,25;0,0002975773
1,3;0,0003081068
1,35;0,000317287
1,4;0,0003257854
1,45;0,0003351495
1,5;0,0003443787
1,55;0,000354236
1,6;0,000362762
1,65;0,000371581
1,7;0,0003811971
1,75;0,0003899453
1,8;0,0003989024
1,85;0,0004074349
1,9;0,0004162264
1,95;0,0004241553
2;0,000433365
