Tensao [V];Corrente [A]
-3;-1,372931E-05
-2,95;-9,959152E-06
-2,9;-6,011398E-06
-2,85;-3,204072E-06
-2,8;-7,829473E-07
-2,75;4,166767E-07
-2,7;9,986291E-07
-2,65;2,515735E-06
-2,6;3,22436E-06
-2,55;4,695371E-06
-2,5;5,642882E-06
-2,45;6,60584E-06
-2,4;8,765455E-06
-2,35;9,780317E-06
-2,3;1,049043E-05
-2,25;1,119028E-05
-2,2;1,216819E-05
-2,15;1,275064E-05
-2,1;1,417283E-05
-2,05;1,522884E-05
-2;1,565335E-05
-1,95;1,749475E-05
-1,9;1,831558E-05
-1,85;1,958367E-05
-1,8;2,078576E-05
-1,75;2,173352E-05
-1,7;2,232424E-05
-1,65;2,323443E-05
-1,6;2,469815E-05
-1,55;2,62024E-05
-1,5;2,74391E-05
-1,45;2,908374E-05
-1,4;2,997514E-05
-1,35;3,236834E-05
-1,3;3,291617E-05
-1,25;3,492304E-05
-1,2;3,618618E-05
-1,15;3,811742E-05
-1,1;4,035389E-05
-1,05;4,28473E-05
-1;4,588633E-05
-0,95;4,988129E-05
-0,9;5,489478E-05
-0,85;6,112955E-05
-0,8;6,757812E-05
-0,75;7,553302E-05
-0,7;8,548232E-05
-0,65;9,616768E-05
-0,6;0,0001092656
-0,55;0,0001232022
-0,5;0,0001383322
-0,45;0,0001556553
-0,4;0,000175653
-0,35;0,0001966494
-0,3;0,0002192307
-0,25;0,0002442861
-0,2;0,0002709003
-0,15;0,0003010777
-0,1;0,0003336628
-0,05;0,0003686728
0;0,0004074863
0,05;0,000441952
0,1;0,00047989
0,15;0,0005190455
0,2;0,0005589257
0,25;0,0005997217
0,3;0,0006420943
0,35;0,0006855234
0,4;0,0007293073
0,45;0,0007741499
0,5;0,0008204985
0,55;0,0008665428
0,6;0,0009141331
0,65;0,0009624902
0,7;0,001010785
0,75;0,001060024
0,8;0,001111684
0,85;0,001161081
0,9;0,001211383
0,95;0,001261941
1;0,001313196
1,05;0,001364408
1,1;0,001415702
1,15;0,001466175
1,2;0,001516558
1,25;0,00156682
1,3;0,001616348
1,35;0,00166607
1,4;0,00171457
1,45;0,001762342
1,5;0,001809538
1,55;0,00185747
1,6;0,001903216
1,65;0,001949082
1,7;0,001994156
1,75;0,002039931
1,8;0,002083966
1,85;0,002119809
1,9;0,002170207
1,95;0,002213477
2;0,002256142
